no,	label
1,	77
2,	21
3,	22
4,	20
5,	36
6,	15
7,	62
8,	95
9,	20
10,	5
11,	4
12,	19
13,	96
14,	62
15,	36
16,	15
17,	65
18,	14
19,	87
20,	69
21,	89
22,	51
23,	89
24,	27
25,	97
26,	58
27,	79
28,	21
29,	93
30,	27
31,	99
32,	31
33,	33
34,	80
35,	28
36,	47
37,	53
38,	69
39,	28
40,	33
41,	91
42,	71
43,	50
44,	76
45,	4
46,	37
47,	70
48,	68
49,	40
50,	35
51,	94
52,	88
53,	52
54,	31
55,	59
56,	0
57,	39
58,	64
59,	69
60,	57
61,	13
62,	72
63,	76
64,	61
65,	82
66,	18
67,	41
68,	50
69,	55
70,	13
71,	46
72,	13
73,	79
74,	53
75,	15
76,	28
77,	81
78,	69
79,	52
80,	84
81,	68
82,	27
83,	56
84,	48
85,	40
86,	39
87,	82
88,	100
89,	59
90,	43
91,	67
92,	38
93,	63
94,	91
95,	60
96,	14
97,	21
98,	87
99,	73
100,	32
101,	2
102,	82
103,	19
104,	74
105,	42
106,	12
107,	1
108,	90
109,	89
110,	0
111,	41
112,	16
113,	94
114,	97
115,	66
116,	24
117,	17
118,	90
119,	13
120,	0
121,	64
122,	96
123,	98
124,	12
125,	41
126,	47
127,	78
128,	20
129,	89
130,	29
131,	64
132,	75
133,	12
134,	25
135,	28
136,	30
137,	65
138,	59
139,	64
140,	53
141,	71
142,	97
143,	73
144,	9
145,	12
146,	63
147,	99
148,	60
149,	35
150,	2
151,	60
152,	32
153,	94
154,	84
155,	63
156,	22
157,	81
158,	93
159,	33
160,	7
161,	42
162,	46
163,	54
164,	16
165,	49
166,	43
167,	95
168,	66
169,	21
170,	35
171,	80
172,	37
173,	54
174,	56
175,	1
176,	32
177,	58
178,	32
179,	46
180,	72
181,	17
182,	97
183,	93
184,	91
185,	37
186,	4
187,	54
188,	51
189,	27
190,	46
191,	92
192,	73
193,	77
194,	91
195,	61
196,	99
197,	4
198,	72
199,	19
200,	57
201,	78
202,	26
203,	74
204,	90
205,	66
206,	13
207,	40
208,	77
209,	67
210,	75
211,	23
212,	45
213,	59
214,	44
215,	23
216,	55
217,	55
218,	95
219,	12
220,	4
221,	7
222,	100
223,	48
224,	42
225,	96
226,	39
227,	100
228,	87
229,	14
230,	14
231,	37
232,	5
233,	88
234,	91
235,	65
236,	74
237,	56
238,	16
239,	5
240,	28
241,	92
242,	46
243,	54
244,	39
245,	44
246,	31
247,	68
248,	86
249,	90
250,	38
251,	21
252,	95
253,	56
254,	60
255,	65
256,	78
257,	89
258,	6
259,	67
260,	36
261,	16
262,	100
263,	45
264,	73
265,	57
266,	20
267,	76
268,	34
269,	55
270,	72
271,	55
272,	8
273,	56
274,	72
275,	58
276,	6
277,	96
278,	23
279,	58
280,	23
281,	19
282,	25
283,	64
284,	21
285,	59
286,	19
287,	16
288,	42
289,	43
290,	61
291,	92
292,	11
293,	41
294,	1
295,	8
296,	71
297,	46
298,	55
299,	62
300,	47
